Link,Renew,Shipname,Launch,H.,P.,Type,B.M.,Disp.,Guns,Fate,S.B.,Note
ShowShip.php?id+AD0-10,,Aboukir,1848,W,W,2nd rate, 2 decker,3080,,90,1877,1 1858 screw
,r,Abundance,1855,,,,,,,,,Alfred 1855
,,Abyssinia,1870,I,S,Breastwork monitor,,2900,4,1903,,
ShowShip.php?id+AD0-1001,,Acheron,1835,W,P,Sloop,720,1006,,1855,,
ShowShip.php?id+AD0-1002,r,Acheron,1904,,,,,,,,,Northumberland 1866
ShowShip.php?id+AD0-1003,,Achille,1798,W,W,3rd rate,1981,,74,1865,,1823 rebuilt
ShowShip.php?id+AD0-1004,,Achilles,1863,I,S,Broadside ironclad frigate,6121,9820,20,1923,2,First iron ship bult in Royal Naval dockyard. 1886 h.s. 1902 +AD0- Hibernia base ship. 1904 +AD0- Egmont. 1918 +AD0- Egremont. 1919 +AD0- Pembroke.
ShowShip.php?id+AD0-1005,,Acorn,1838,W,W,Brig,485,,12,1869,,1861 c.h.
ShowShip.php?id+AD0-1006,,Actaeon,1831,W,W,6th rate,620,,16,1889,,1856 survey ship. 1866 hospital ship. 1870 hulk
ShowShip.php?id+AD0-1007,r,Actaeon,1886,,,,,,,,,Vernon 1832
ShowShip.php?id+AD0-1008,r,Actaeon,1905,,,,,,,,,Ariadne 1859
ShowShip.php?id+AD0-1009,r,Actaeon II,1906,,,,,,,,,Dido 1869
ShowShip.php?id+AD0-2492,,Active,1799,W,W,5th rate,1058,,38,1860,,1833 +AD0- Argo
,,Active,1845,W,W,5th rate,1627,,36,1908,,1863 t.s. 1867.07 +AD0- Tyne. 1867.11 +AD0- Durham
ShowShip.php?id+AD0-1011,,Active,1869,I,S,Corvette,2322,3080,10,1906,3,
ShowShip.php?id+AD0-1012,,Adder,1837,W,P,Packet,240,272,1,1870,,
ShowShip.php?id+AD0-2377,,Adelaide,,W,W,Revenue cutter,,,,,,
,,Adelaide,1848,W,W,Cutter,140,,,1850,,Ex+AC0-slaver. 1850.10.09 wrecked Banana Island W. Africa
ShowShip.php?id+AD0-2508,,Admiralty,1814,W,W,Yacht,115,,0,1870,,1830.07 +AD0- Plymouth. 1866 +AD0- YC.1
ShowShip.php?id+AD0-1015,r,Adventure,1821,,,,,,,,,Aid 1809
ShowShip.php?id+AD0-1016,r,Adventure,1857,,,,,,,,,Resolute 1855
ShowShip.php?id+AD0-1017,,Advice,1837,W,P,Packet,197,,1,1870,5,
ShowShip.php?id+AD0-1018,,Aeolus,1825,W,W,5th rate,1035,,46,1886,,1846 store ship. 1855 accommodation ship. 1861 lazarette
ShowShip.php?id+AD0-2328,,Aetna,1824,W,W,Bomb,375,,6,18??,,1826 survey vessel. 1846 sold Bristol Seamen''s Friendly Society.'
,,Aetna,1855,W,S,Floating battery,1469,,14,1855,,1855.05.03 caught fire on stocks and launched herself
,,Aetna,1856,W,S,Floating battery,1558,,16,1873,6,1866 h.s. 1873 accidentally burnt
ShowShip.php?id+AD0-1021,r,Africa,1859,,,,,,,,,Euryalus 1803
ShowShip.php?id+AD0-138,,Africa,1862,W,S,Sloop,669,913,,18??,7,1862.08 +AD0- China sold to Chinese Imperial Customs. 1865 resold to Egyptian government
ShowShip.php?id+AD0-1022,,Africaine,1827,W,W,5th rate,1173,,46,1903,,1867 Trinity House hulk
ShowShip.php?id+AD0-1024,,African,1825,W,P,Gunvessel,295,487,2,1862,,Laid down as Dee. Later tug
,,African,1865,I,S,Tug,36,41,0,1907,8,
ShowShip.php?id+AD0-43,,Agamemnon,1852,W,S,2nd rate, 2 decker,3102,4614,91,1870,
ShowShip.php?id+AD0-1025,,Agincourt,1817,W,W,3rd rate,1747,,74,1884,,1848 t.s. 1865 +AD0- Vigo. 1866 hospital ship. 1870 r.s.
ShowShip.php?id+AD0-1026,,Agincourt,1865,I,S,Broadside ironclad frigate,6638,10600,36,1960,,Laid down as Captain. 1895 t.s. 1904 +AD0- Boscawen III. 1906 +AD0- Ganges II. 1908 +AD0- C109 c.h.
,,Aid,1809,W,W,Transport,314,,10,1853,,1817 survey ship. 1821 +AD0- Adventure. 1830 sloop. 1839 transport
ShowShip.php?id+AD0-1028,,Aigle,1801,W,W,5th rate,990,567,44,1870,,1831 24 gun 6th rate. 1853 c.h. 1870 torpedo target
ShowShip.php?id+AD0-59,,Ajax,1809,W,W,3rd rate,1761,,74,1864,9,1848 screw blockship 60 guns
ShowShip.php?id+AD0-1029,r,Ajax,1867,,,,,,,,,Vanguard 1835
ShowShip.php?id+AD0-1030,r,Akbar,1806,,,,,,,,,Cornwallis 1801
ShowShip.php?id+AD0-1031,r,Akbar,1862,,,,,,,,,Hero 1816
ShowShip.php?id+AD0-1032,,Alacrity,1856,W,S,Gunvessel,675,860,4,1864,10,
ShowShip.php?id+AD0-1033,,Alarm,1845,W,W,6th rate,910,,26,1904,,1860 c.h. 1900 landing stage
,,Albacore,1856,W,S,Gunboat,232,284,4,1885,,
ShowShip.php?id+AD0-1035,,Alban,1826,W,P,Gunvessel,295,,2,1860,,1831 rebuilt 407 bm
ShowShip.php?id+AD0-1036,,Albatross,1842,W,W,Brig,484,,16,1860,,
,,Albatross,1873,C,S,Sloop,727,940,4,1889,,
ShowShip.php?id+AD0-1038,,Albert,1840,I,P,Exploration vessel,457,340,3,1850,,1843.07.13 wrecked. Later salved and transferred to Gambia govt.
,,Alberta,1863,W,P,Yacht,370,391,,1912,,
ShowShip.php?id+AD0-11,,Albion,1842,W,W,2nd rate, 2 decker,3111,,90,1884, 1861 screw
ShowShip.php?id+AD0-1040,,Alecto,1839,W,P,Sloop,800,878,4,1865,,
ShowShip.php?id+AD0-2379,,Alert,1813,W,W,Brig+AC0-sloop,388,,18,1832,,
ShowShip.php?id+AD0-1041,,Alert,1835,W,W,Packet brig,358,,8,1851,,
,,Alert,1848,W,W,Brig,,,6,1850,,ex+AC0-slaver
ShowShip.php?id+AD0-139,,Alert,1856,W,S,Sloop,751,1044,17,1896,,1878 survey ship. 1884 given to American research society
ShowShip.php?id+AD0-1043,,Alexandra,1875,I,S,Central battery ironclad,,9490,22,1908,,Laid down as Superb. 1903 h.s.
,,Alexandre,1806,W,W,2nd rate,2231,,80,1822,,1806.02.06 captured from France off San Domingo. 1811 h.s.
ShowShip.php?id+AD0-1044,r,Alfred,1819,,,,,,,,,Asia 1811
,,Alfred,1855,I,S,Storeship, bakery,617,,,1856, 1855.02 +AD0- Abundance
ShowShip.php?id+AD0-2329,,Algerine,1829,W,W,Brig+AC0-sloop,231,297,10,1844,,
ShowShip.php?id+AD0-1046,,Algerine,1857,W,S,Gunboat,299,,1,1894,13,
,,Algerine,1880,C,S,Gunvessel,,835,3,1892,,
ShowShip.php?id+AD0-12,,Algiers,1854,W,S,2nd rate, 2 decker,3340,4730,91,1870,11 converted to screw on stocks
ShowShip.php?id+AD0-1047,r,Algiers,1883,,,,,,,,12,Anson 1860
ShowShip.php?id+AD0-1048,r,Algiers,1915,,,,,,,,,Triumph 1870
ShowShip.php?id+AD0-2381,,Alligator,1787,W,W,6th rate,599,,28,1814,,
ShowShip.php?id+AD0-1049,,Alligator,1821,W,W,6th rate,500,,28,1865,,1841 d.s. 1842 troopship. 1846 hospital ship
ShowShip.php?id+AD0-1050,,Amazon,1821,W,W,5th rate,1078,,46,1863,,1844 28 gun 6th rate
ShowShip.php?id+AD0-140,,Amazon,1865,W,S,Sloop,1081,1525,4,1866,14,
ShowShip.php?id+AD0-1051,r,Ambuscade,1846,,,,,,,,,Amphion 1846
,,Amelia,1856,W,S,Gunboat,232,284,4,1865,15,
,r,Amelia,1888,,,,,,,,,Hawk 1869
ShowShip.php?id+AD0-2372,,America,1810,W,W,3rd rate,1741,,74,1867,0,1835 50 gun 4th rate. 1864 target
ShowShip.php?id+AD0-1054,,Amethyst,1844,W,W,6th rate,923,,26,18??,,Lent for use as cable vessel. 1869 then sold as cable vessel
ShowShip.php?id+AD0-100,,Amethyst,1873,W,S,Corvette,1405,1970,14,1887,16,
ShowShip.php?id+AD0-68,,Amphion,1846,W,S,Frigate,1474,2049,36,1864,,Ordered as sailer Ambuscade. Converted to screw on stocks
ShowShip.php?id+AD0-1055,,Amphion,1883,S,S,2nd class cruiser,,4300,10,1906,,
ShowShip.php?id+AD0-1056,,Amphitrite,1816,W,W,5th rate,1064,,46,1875,,1846 24 gun 6th rate. 1862 lent to contractors at Plymouth
ShowShip.php?id+AD0-1057,,Andromache,1832,W,W,6th rate,709,,28,1875,,1846 provision hulk. 1854 powder hulk
,,Andromeda,1829,W,W,5th rate,1215,,46,1863,,
ShowShip.php?id+AD0-1060,,Angler,1856,W,S,Gunboat,212,,2,1869,17,
ShowShip.php?id+AD0-2382,,Anson,1812,W,W,3rd rate,1742,,74,1851,,1831 h.s. 1844 convict ship in Tasmania
ShowShip.php?id+AD0-44,,Anson,1860,W,S,2nd rate,3336,5500,91,1904,12,1883 +AD0- Algiers
ShowShip.php?id+AD0-1061,,Ant,1856,W,S,Gunboat,212,,2,1869,18,
,,Ant,1873,I,S,Gunboat,245,241,1,1926,,1917 boom defence vessel. 1921 target
ShowShip.php?id+AD0-1063,,Antelope,1802,W,W,4th rate,1107,,50,1845,,1818 troopship. 1824 convict ship
ShowShip.php?id+AD0-1064,,Antelope,1846,I,P,Packet,650,1055,4,1883,19,
ShowShip.php?id+AD0-1065,,Apollo,1805,W,W,5th rate,1086,,38,1856,,1836 troopship. 1853 storeship
ShowShip.php?id+AD0-1066,,Arab,1847,W,W,Brig sloop,481,,16,1879,,1863 Coastguard. 1867 +AD0- WV.18
,,Arab,1874,C,S,Sloop (1876: Gunvessel),,720,3,1889,,
ShowShip.php?id+AD0-2478,,Arachne,1809,W,W,Brig+AC0-slool,386,,18,1837,,
ShowShip.php?id+AD0-1068,,Arachne,1847,W,W,Sloop,602,,18,1866,,
ShowShip.php?id+AD0-141,,Archer,1849,W,S,Sloop (1862: Corvette),971,1337,12,1866,20,
ShowShip.php?id+AD0-1069,,Ardent,1841,W,P,Sloop,800,878,5,1865,,
ShowShip.php?id+AD0-1071,,Arethusa,1817,W,W,5th rate,1085,,46,1883,,1836 lazarette. 1844 +AD0- Bacchus. 1852 c.s.
ShowShip.php?id+AD0-187,,Arethusa,1849,W,W,4th rate,2132,3832,50,1934,21,1861 screw. 1874 t.s.
,r,Argo,1833,,,,,,,,,
ShowShip.php?id+AD0-1072,,Argus,1849,W,P,Sloop,981,1630,6,1881,,
,r,Argus,1884,,,,,,,,,Imogene 1864
ShowShip.php?id+AD0-2488,,Ariadne,1816,W,W,6th rate,511,,20,1841,,
ShowShip.php?id+AD0-72,,Ariadne,1859,W,S,Frigate,3214,4583,26,1922,,1880 part of Vernon torpedo t.s. 1884 t.s. 1905 +AD0- Actaeon
ShowShip.php?id+AD0-1074,,Ariel,1837,W,P,Packet,149,,1,18??,,
ShowShip.php?id+AD0-142,,Ariel,1854,W,S,Sloop,486,625,9,1865,22,
,,Ariel,1873,C,S,Gunboat,295,436,4,1889,23,1877 Coastguard
ShowShip.php?id+AD0-1076,,Armada,1810,W,W,3rd rate,1749,,74,1863,,
ShowShip.php?id+AD0-2383,,Armide,1806,W,W,5th rate,1104,,38,1815,,1806.09.26 captured from France off Rochefort
ShowShip.php?id+AD0-73,,Arrogant,1848,W,S,Frigate,1872,2690,46,1867,24,+//0Awv/9AKA-
ShowShip.php?id+AD0-2330,,Arrow,1823,W,W,Cutter,157,,10,1852,,1831 Customs cutter
ShowShip.php?id+AD0-1077,,Arrow,1854,W,S,Gunvessel,477,586,2,1862,25,
,,Arrow,1871,I,S,Gunboat,245,241,1,1922,26,
ShowShip.php?id+AD0-1079,,Asia,1811,W,W,3rd rate,1763,,74,1865,,1819 +AD0- Alfred. 1828 50 gun 4th rate
ShowShip.php?id+AD0-1080,,Asia,1824,W,W,2nd rate,2289,,84,1908,,1858 guard ship
ShowShip.php?id+AD0-1081,,Asp,1837,W,P,Packet,112,,1,1881,27,
ShowShip.php?id+AD0-1083,,Assistance,1850,W,W,Discovery vessel,420,,2,1854,,
ShowShip.php?id+AD0-1084,,Assistance,1855,W,S,Storeship,1793,2260,,1860,,
,,Assistance,1874,I,S,Troopship,,2515,2,1897,,
ShowShip.php?id+AD0-1085,,Assurance,1856,W,S,Gunvessel,681,860,4,1870,28,
ShowShip.php?id+AD0-2331,,Astraea,1810,W,W,5th rate,956,,36,1851,,1823 h.s.
ShowShip.php?id+AD0-1086,,Atalanta,1847,W,W,Brig,549,,16,1868,,
ShowShip.php?id+AD0-1087,r,Atalanta,1878,,,,,,,,,Juno 1844
ShowShip.php?id+AD0-1088,,Atalante,1860,I,S,Storeship,295,,,1870,,
ShowShip.php?id+AD0-2495,,Atholl,1820,W,W,6th rate,503,,28,1863,,1832 troopship
ShowShip.php?id+AD0-45,,Atlas,1860,W,S,2nd rate,3318,5260,91,1904,29,Not completed for sea. 1884 lent to Metropolitan Asylum Board
ShowShip.php?id+AD0-1090,,Audacious,1869,I,S,Central battery ironclad,3774,6010,14,1927,30,1902 torpedo d.s. 1904 +AD0- Fisgard. 1906 t.s. 1914 +AD0- Imperi+//0Aw//9AKk-use repair ship
ShowShip.php?id+AD0-2384,,Aurora,1809,W,W,Sloop,247,,14,18??,,1810.09 captured by France off Mauritius
ShowShip.php?id+AD0-1091,,Aurora,1814,W,W,5th rate,1083,,38,1851,,1808 launched. 1814.02.26 captured as Clorinde (French). 1832 c.h.
ShowShip.php?id+AD0-74,,Aurora,1861,W,S,Frigate,2558,3498,51,1881,,
ShowShip.php?id+AD0-1092,,Avenger,1845,W,P,Frigate,1444,,10,1847,,1847.12.20 wrecked on Sorelle Rocks off North Africa 246 drowned
ShowShip.php?id+AD0-1093,,Avon,1837,W,P,Packet,360,,2,1863,31,
,,Avon,1867,C,S,Gunvessel,467,603,4,1890,32,
,,Azov,1855,W,W,Schooner gunboat,94,,2,1899,,1859 h.s.
ShowShip.php?id+AD0-1096,,Bacchante,1811,W,W,5th rate,1077,,38,1858,,1837 h.s.
ShowShip.php?id+AD0-75,,Bacchante,1859,W,S,Frigate,2667,3631,51,1869,33,
,,Bacchante,1876,I,S,Corvette,2679,4130,16,1897,34,
ShowShip.php?id+AD0-2473,,Bacchus,1813,W,W,Brig+AC0-sloop,384,,18,1829,0,1829 breakwater at Harwich
ShowShip.php?id+AD0-1098,r,Bacchus,1844,,,,,,,,,Arethusa 1817
ShowShip.php?id+AD0-1099,,Badger,1808,W,W,Brig+AC0-sloop,240,,10,1860,,1835 mooring vessel
ShowShip.php?id+AD0-1100,,Badger,1854,W,S,Gunboat,216,,4,1864,,Laid down as Ranger
,,Badger,1872,I,S,Gunboat,,254,1,1908,35,
ShowShip.php?id+AD0-1102,,Bann,1856,I,P,Gunboat,267,291,4,1873,36,
ShowShip.php?id+AD0-1103,,Banshee,1847,,P,Packet,670,,,1864,,
ShowShip.php?id+AD0-1104,,Banterer,1855,W,S,Gunboat,232,,4,1872,37,1859.06.28 sunk Peiho and later salvaged
,r,Banterer,1915,,,,,,,,,Plucky 1870
ShowShip.php?id+AD0-2370,,Barham,1811,W,W,3rd rate,1761,,74,1840,,1826.10 50 gun 5th rate
ShowShip.php?id+AD0-1106,,Baron von Humboldt,1855,I,S,Storeship,440,,,1888,,Acquired from Treasury. 1856 +AD0- Buffalo
ShowShip.php?id+AD0-2385,,Barracouta,1820,W,W,Brig+AC0-sloop,235,,10,1836,,1829 packet brig
ShowShip.php?id+AD0-1107,,Barracouta,1851,W,P,Sloop,1053,1676,6,1881,,
ShowShip.php?id+AD0-2496,,Barrosa,1812,W,W,5th rate,947,,36,1841,,1823 h.s.
ShowShip.php?id+AD0-101,,Barrosa,1860,W,S,Corvette,1700,2302,21,1877,38,
ShowShip.php?id+AD0-2332,,Basilisk,1822,W,W,Cutter,161,,6,1846,,
ShowShip.php?id+AD0-1108,,Basilisk,1848,W,P,1st class sloop,1031,1710,6,1882,,+//0Awv/9AKA-
ShowShip.php?id+AD0-1109,r,Beacon,1832,,,,,,,,,Meteor 1823
,,Beacon,1855,W,W,Mortar vessel,117,,1,18??,,1855.10 +AD0- MV.16. 1862 dockyard lighter
,,Beacon,1856,W,S,Gunboat,232,,4,1864,,
,,Beacon,1867,C,S,Gunvessel,465,603,4,1888,39,
ShowShip.php?id+AD0-1113,,Beagle,1820,W,W,Brig+AC0-sloop,237,,10,1870,,1825 survey vessel. 1846 Customs w.v. 1863 +AD0- WV.7
ShowShip.php?id+AD0-1114,,Beagle,1854,W,S,Gunvessel,477,,2,1889,,1865 +AD0- Kanko Japanese navy
,,Beagle,1872,W,W,Schooner,120,,1,1883,,
ShowShip.php?id+AD0-2386,,Beaver,1829,W,W,Brig+AC0-sloop,236,,10,1829,,
ShowShip.php?id+AD0-1116,,Beaver,1837,W,P,Packet,114,,,1858,,
ShowShip.php?id+AD0-1117,,Beaver,1855,W,S,Gunboat,232,,,1864,40,
ShowShip.php?id+AD0-1118,,Bee,1842,W,P,Training vessel,42,,,1874,41,Paddle and screw propulsion
ShowShip.php?id+AD0-1119,,Belleisle,1819,W,W,3rd rate,1706,,6,1872,,1841 20 gun troopship. 1854 hospital ship
ShowShip.php?id+AD0-2541,,Belleisle,1876,I,S,Central battery ironclad,,4870,4,1904,,Laid down as Turkish Peyk+AC0-i+AC0-Sheref. Purchased on stocks. 1900 target.
ShowShip.php?id+AD0-2333,r,Bellerophon,1824,,,,,,,,,Waterloo 1818
ShowShip.php?id+AD0-1120,,Bellerophon,1865,I,S,Central battery ironclad,4270,7551,15,1922,42,1892 guard ship. 1904 +AD0- Indus III t.s.
ShowShip.php?id+AD0-1121,r,Bellona,1818,,,,,,,,,Indus 1812
ShowShip.php?id+AD0-1122,,Belvidera,1809,W,W,5th rate,946,,36,1906,,1846 h.s.
ShowShip.php?id+AD0-1124,,Benbow,1813,W,W,3rd rate,1773,,72,1895,,1848 h.s.1859 c.h.
,,Bermuda,1813,W,S,Yacht,43,,0,1841,,American prize+ADs- ex+AC0-''Delaware'' pilot+AC0-boat'
ShowShip.php?id+AD0-1125,,Bermuda,1848,W,W,Schooner,180,,3,1855,,1855.02.24 wrecked on Turks Island W. Indies
