Order,PID,Forename,Surname,Born,Died,Link
0,p_0_0,Charles,Adam,6_10_1780,19_9_1853,http://www.pdavis.nl/ShowBiog.php?id=1
1,p_0_1,John,Adams,2_1798,17_12_1866,http://www.pdavis.nl/ShowBiog.php?id=114
2,p_0_2,Richard,Adams,1835,26_2_1872,http://www.pdavis.nl/ShowBiog.php?id=1451
3,p_0_3,Edward Stanley,Adeane,7_12_1836,18_10_1902,http://www.pdavis.nl/ShowBiog.php?id=1519
4,p_0_4,John de Courcy Andrew,Agnew,8_10_1819,26_9_1916,http://www.pdavis.nl/ShowBiog.php?id=1150
5,p_0_5,William Cornwallis,Aldham,21_9_1809,27_2_1878,http://www.pdavis.nl/ShowBiog.php?id=696
6,p_0_6,Pelham,Aldrich,8_12_1844,12_11_1930,http://www.pdavis.nl/ShowBiog.php?id=1472
7,p_0_7,Robert Dawes,Aldrich,1808,2_6_1891,http://www.pdavis.nl/ShowBiog.php?id=1132
8,p_0_8,John Williams,Aldridge,1795,26_3_1875,http://www.pdavis.nl/ShowBiog.php?id=365
9,p_0_9,John Hobhouse Inglis,Alexander,7_1832,22_11_1875,http://www.pdavis.nl/ShowBiog.php?id=1374
10,p_0_10,John Richard,Alexander,1829,19_1_1869,http://www.pdavis.nl/ShowBiog.php?id=1711
12,p_0_12,Bird,Allen,1803,25_10_1841,http://www.pdavis.nl/ShowBiog.php?id=3
13,p_0_13,Henry Murray Edward,Allen,17_7_1809,30_9_1856,http://www.pdavis.nl/ShowBiog.php?id=635
14,p_0_14,William,Allen,11_1792,23_1_1864,http://www.pdavis.nl/ShowBiog.php?id=4
15,p_0_15,Constantine O'Donnel,Allingham,20_4_1835,11_5_1865,http://www.pdavis.nl/ShowBiog.php?id=1565
16,p_0_16,James,Anderson,1797,7_3_1882,http://www.pdavis.nl/ShowBiog.php?id=659
17,p_0_17,Warren Hastings,Anderson,10_12_1825,2_5_1880,http://www.pdavis.nl/ShowBiog.php?id=1199
18,p_0_18,Charles William,Andrew,20_12_1834,24_1_1892,http://www.pdavis.nl/ShowBiog.php?id=1691
19,p_0_19,William Henry,Annesley,4_10_1830,28_3_1875,http://www.pdavis.nl/ShowBiog.php?id=1435
20,p_0_20,Charles Vernon,Anson,4_2_1846,2_7_1905,http://www.pdavis.nl/ShowBiog.php?id=1503
21,p_0_21,Talavera Vernon,Anson,26_11_1809,8_9_1895,http://www.pdavis.nl/ShowBiog.php?id=218
22,p_0_22,Benjamin,Aplin,,1860,http://www.pdavis.nl/ShowBiog.php?id=387
23,p_0_23,Elphinstone D'Oyly D'Auvergne,Aplin,1821,24_11_1882,http://www.pdavis.nl/ShowBiog.php?id=1087
24,p_0_24,William,Arlett,,,http://www.pdavis.nl/ShowBiog.php?id=1658
25,p_0_25,Whaley,Armitage,,,http://www.pdavis.nl/ShowBiog.php?id=284
26,p_0_26,William,Armytage,,,http://www.pdavis.nl/ShowBiog.php?id=1127
27,p_0_27,Richard,Arthur,1779,1854,http://www.pdavis.nl/ShowBiog.php?id=646
28,p_0_28,William,Arthur,4_7_1830,15_11_1886,http://www.pdavis.nl/ShowBiog.php?id=1200
29,p_0_29,Charles John,Austen,1779,7_10_1852,http://www.pdavis.nl/ShowBiog.php?id=283
30,p_0_30,Francis William,Austen,12_7_1809,,http://www.pdavis.nl/ShowBiog.php?id=600
31,p_0_31,Horatio Thomas,Austin,10_3_1800,16_11_1865,http://www.pdavis.nl/ShowBiog.php?id=148
32,p_0_32,Charles,Autridge,,,http://www.pdavis.nl/ShowBiog.php?id=476
33,p_0_33,Henry,Bacon,,,http://www.pdavis.nl/ShowBiog.php?id=1589
34,p_0_34,Henry,Bagot,12_7_1810,30_11_1877,http://www.pdavis.nl/ShowBiog.php?id=592
