Link,ID,Version,Shipname,Launch,H.,P.,Type,B.M.,Disp.,Guns,Fate,S.B.,Note
ShowShip.php?id-10,1,0,Aboukir,1848,W,W,"2nd rate, 2 decker",3080,,90,1877,1,1858 screw
,2,0,Abyssinia,1870,I,S,Breastwork monitor,,2900,4,1903,,
ShowShip.php?id=1001,3,0,Acheron,1835,W,P,Sloop,720,1006,,1855,,
ShowShip.php?id=1003,5,0,Achille,1798,W,W,3rd rate,1981,,74,1865,,1823 rebuilt
ShowShip.php?id=1004,6,1,Achilles,1863,I,S,Broadside ironclad frigate,6121,9820,20,1923,2,First iron ship bult in Royal Naval dockyard. 1886 h.s. 1902 = Hibernia base ship. 1904 = Egmont. 1918 = Egremont. 1919 = Pembroke.
ShowShip.php?id=1572,6,2,Hibernia,1902,,,,,,,,,Achilles 1863
ShowShip.php?id=1387,6,3,Egmont,1904,,,,,,,,,Achilles 1863
ShowShip.php?id=1388,6,4,Egremont,1918,,,,,,,,,Achilles 1863
ShowShip.php?id=1863,6,5,Pembroke,1919,,,,,,,,,Achilles 1863
ShowShip.php?id=1005,7,0,Acorn,1838,W,W,Brig,485,,12,1869,,1861 c.h.
ShowShip.php?id=1006,8,0,Actaeon,1831,W,W,6th rate,620,,16,1889,,1856 survey ship. 1866 hospital ship. 1870 hulk
ShowShip.php?id=2492,12,1,Active,1799,W,W,5th rate,1058,,38,1860,,1833 = Argo
,12,2,Argo,1833,,,,,,,,,
,13,1,Active,1845,W,W,5th rate,1627,,36,1908,,1863 t.s. 1867.07 = Tyne. 1867.11 = Durham
,13,2,Tyne,1867,,,,,,,,,Active 1845
,13,3,Durham,1867,,,,,,,,,Active 1845
ShowShip.php?id=1011,14,0,Active,1869,I,S,Corvette,2322,3080,10,1906,3,
ShowShip.php?id=1012,15,0,Adder,1837,W,P,Packet,240,272,1,1870,,
ShowShip.php?id=2377,16,0,Adelaide,0,W,W,Revenue cutter,,,,,,
,17,0,Adelaide,1848,W,W,Cutter,140,,,1850,,Ex-slaver. 1850.10.09 wrecked Banana Island W. Africa
ShowShip.php?id=2508,18,1,Admiralty,1814,W,W,Yacht,115,,0,1870,,1830.07 = Plymouth. 1866 = YC.1
ShowShip.php?id=2509,18,2,Plymouth,1830,,,,,,,,,Admiralty 1814
ShowShip.php?id=1017,21,0,Advice,1837,W,P,Packet,197,,1,1870,5,
ShowShip.php?id=1018,22,0,Aeolus,1825,W,W,5th rate,1035,,46,1886,,1846 store ship. 1855 accommodation ship. 1861 lazarette
ShowShip.php?id=2328,23,0,Aetna,1824,W,W,Bomb,375,,6,18??,,1826 survey vessel. 1846 sold Bristol Seamen's 'Friendly Society.'
,24,0,Aetna,1855,W,S,Floating battery,1469,,14,1855,,1855.05.03 caught fire on stocks and launched herself
,25,0,Aetna,1856,W,S,Floating battery,1558,,16,1873,6,1866 h.s. 1873 accidentally burnt
ShowShip.php?id=138,27,0,Africa,1862,W,S,Sloop,669,913,,18??,7,1862.08 = China sold to Chinese Imperial Customs. 1865 resold to Egyptian government
ShowShip.php?id=1022,28,0,Africaine,1827,W,W,5th rate,1173,,46,1903,,1867 Trinity House hulk
ShowShip.php?id=1024,29,0,African,1825,W,P,Gunvessel,295,487,2,1862,,Laid down as Dee. Later tug
,30,0,African,1865,I,S,Tug,36,41,0,1907,8,
ShowShip.php?id=43,31,0,Agamemnon,1852,W,S,"2nd rate, 2 decker",3102,4614,91,1870,,
ShowShip.php?id=1025,32,1,Agincourt,1817,W,W,3rd rate,1747,,74,1884,,1848 t.s. 1865 = Vigo. 1866 hospital ship. 1870 r.s.
ShowShip.php?id=2254,32,2,Vigo,1865,,,,,,,,,Agincourt 1817
ShowShip.php?id=1026,33,1,Agincourt,1865,I,S,Broadside ironclad frigate,6638,10600,36,1960,,Laid down as Captain. 1895 t.s. 1904 = Boscawen III. 1906 = Ganges II. 1908 = C109 c.h.
ShowShip.php?id=1153,33,2,Boscawen III,1904,,,,,,,,,Agincourt 1865
ShowShip.php?id=1489,33,3,Ganges II,1906,,,,,,,,,Agincourt 1865
,34,1,Aid,1809,W,W,Transport,314,,10,1853,,1817 survey ship. 1821 = Adventure. 1830 sloop. 1839 transport
ShowShip.php?id=1015,34,2,Adventure,1821,,,,,,,,,Aid 1809
ShowShip.php?id=1028,35,0,Aigle,1801,W,W,5th rate,990,567,44,1870,,1831 24 gun 6th rate. 1853 c.h. 1870 torpedo target
ShowShip.php?id=59,36,0,Ajax,1809,W,W,3rd rate,1761,,74,1864,9,1848 screw blockship 60 guns
ShowShip.php?id=1032,40,0,Alacrity,1856,W,S,Gunvessel,675,860,4,1864,10,
ShowShip.php?id=1033,41,0,Alarm,1845,W,W,6th rate,910,,26,1904,,1860 c.h. 1900 landing stage
,42,0,Albacore,1856,W,S,Gunboat,232,284,4,1885,,
ShowShip.php?id=1035,43,0,Alban,1826,W,P,Gunvessel,295,,2,1860,,1831 rebuilt 407 bm
ShowShip.php?id=1036,44,0,Albatross,1842,W,W,Brig,484,,16,1860,,
